 Format                 IAGA-2002                                    |
 Source of Data         Instituto Geografico Nacional (Spain)        |
 Station Name           Guimar - Tenerife                            |
 IAGA Code              GUI                                          |
 Geodetic Latitude      28.317                                       |
 Geodetic Longitude     343.560                                      |
 Elevation              868                                          |
 Reported               XYZF                                         |
 Sensor Orientation     HDZF                                         |
 Digital Sampling       0.0078125 seconds                            |
 Data Interval Type     Filtered 1-minute (00:15-01:45)              |
 Data Type              variation                                    |
 # INTERMAGNET Gaussian filter applied for 1-second data             |
 # This data file was created using INTERMAGNET data from Paris GIN. |
 # Final data will be available on the INTERMAGNET DVD.              |
 # Go to www.intermagnet.org for details on obtaining this product.  |
 # CONDITIONS OF USE: The conditions of use for data provided        |
 # through INTERMAGNET and acknowledgement templates can be found    |
 # at www.intermagnet.org                                            |
DATE       TIME         DOY     GUIX      GUIY      GUIZ      GUIF   |
2022-01-15 04:09:00.000 015     27621.87  -3107.32  22525.22  35952.96
2022-01-15 04:10:00.000 015     27621.94  -3107.06  22525.06  35952.91
2022-01-15 04:11:00.000 015     27622.08  -3106.97  22524.99  35952.94
2022-01-15 04:12:00.000 015     27622.04  -3107.05  22524.93  35952.90
2022-01-15 04:13:00.000 015     27622.06  -3106.85  22524.82  35952.82
2022-01-15 04:14:00.000 015     27622.35  -3106.90  22524.79  35953.03
2022-01-15 04:15:00.000 015     27621.77  -3106.94  22524.68  35952.53
2022-01-15 04:16:00.000 015     27621.27  -3106.59  22524.47  35951.96
2022-01-15 04:17:00.000 015     27621.15  -3106.35  22524.30  35951.76
2022-01-15 04:18:00.000 015     27621.17  -3106.07  22524.15  35951.66
2022-01-15 04:19:00.000 015     27621.35  -3106.11  22524.12  35951.78
2022-01-15 04:20:00.000 015     27621.67  -3106.54  22524.26  35952.10
2022-01-15 04:21:00.000 015     27621.79  -3106.87  22524.39  35952.32
2022-01-15 04:22:00.000 015     27622.06  -3107.09  22524.50  35952.61
2022-01-15 04:23:00.000 015     27621.95  -3107.15  22524.45  35952.52
2022-01-15 04:24:00.000 015     27622.03  -3107.23  22524.42  35952.60
2022-01-15 04:25:00.000 015     27621.91  -3107.25  22524.41  35952.50
2022-01-15 04:26:00.000 015     27621.92  -3107.36  22524.42  35952.46
2022-01-15 04:27:00.000 015     27621.75  -3107.54  22524.38  35952.36
2022-01-15 04:28:00.000 015     27621.79  -3107.71  22524.41  35952.42
2022-01-15 04:29:00.000 015     27621.81  -3108.04  22524.50  35952.50
2022-01-15 04:30:00.000 015     27622.08  -3108.38  22524.60  35952.79
2022-01-15 04:31:00.000 015     27622.11  -3108.74  22524.69  35952.91
2022-01-15 04:32:00.000 015     27621.88  -3109.19  22524.74  35952.84
2022-01-15 04:33:00.000 015     27621.77  -3109.56  22524.82  35952.82
2022-01-15 04:34:00.000 015     27621.47  -3110.21  22524.90  35952.70
2022-01-15 04:35:00.000 015     27621.49  -3110.50  22524.96  35952.73
2022-01-15 04:36:00.000 015     27621.60  -3110.95  22525.04  35952.93
2022-01-15 04:37:00.000 015     27621.52  -3111.52  22525.17  35952.97
2022-01-15 04:38:00.000 015     27621.45  -3111.94  22525.23  35953.00
2022-01-15 04:39:00.000 015     27621.54  -3112.20  22525.24  35953.10
2022-01-15 04:40:00.000 015     27621.33  -3112.59  22525.32  35952.99
2022-01-15 04:41:00.000 015     27621.16  -3112.77  22525.29  35952.85
2022-01-15 04:42:00.000 015     27620.87  -3113.05  22525.27  35952.64
2022-01-15 04:43:00.000 015     27620.72  -3112.97  22525.15  35952.44
2022-01-15 04:44:00.000 015     27620.63  -3112.77  22524.96  35952.23
2022-01-15 04:45:00.000 015     27620.54  -3112.55  22524.81  35952.05
2022-01-15 04:46:00.000 015     27620.15  -3112.26  22524.62  35951.65
2022-01-15 04:47:00.000 015     27620.23  -3111.98  22524.46  35951.59
2022-01-15 04:48:00.000 015     27620.17  -3112.03  22524.45  35951.53
2022-01-15 04:49:00.000 015     27620.29  -3112.11  22524.43  35951.62
2022-01-15 04:50:00.000 015     27620.20  -3112.36  22524.46  35951.58
2022-01-15 04:51:00.000 015     27620.05  -3112.50  22524.41  35951.43
2022-01-15 04:52:00.000 015     27620.00  -3112.62  22524.40  35951.41
2022-01-15 04:53:00.000 015     27619.96  -3112.75  22524.42  35951.38
2022-01-15 04:54:00.000 015     27620.43  -3112.78  22524.47  35951.79
2022-01-15 04:55:00.000 015     27620.63  -3113.38  22524.66  35952.08
2022-01-15 04:56:00.000 015     27620.75  -3113.69  22524.76  35952.27
2022-01-15 04:57:00.000 015     27620.93  -3113.78  22524.80  35952.43
